_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1168,2020-07-11T00:00:00,VN,Hạ Long,pressure,8,1002.8,1006.9,1004.2,18.28
1169,2020-05-01T00:00:00,VN,Hạ Long,pressure,8,1002.4,1006.7,1003.9,17.36
1170,2020-12-01T00:00:00,VN,Hạ Long,pressure,8,1001.2,1006.5,1003.4,22.97
1171,2020-02-26T00:00:00,VN,Hạ Long,pressure,7,1003.1,1006.6,1004.1,16.07
1172,2020-05-18T00:00:00,VN,Hồ Chí Minh,humidity,24,40,85.5,72,2505.8
1173,2020-10-04T00:00:00,VN,Hạ Long,pressure,8,998.8,1003.9,1001.5,26.91
1174,2020-02-11T00:00:00,VN,Hạ Long,pressure,8,1001.6,1004.6,1002.1,13.98
1175,2020-05-31T00:00:00,VN,Hồ Chí Minh,humidity,24,62.5,100,79,1662.32
1176,2020-10-21T00:00:00,VN,Hồ Chí Minh,humidity,24,72,97,88,618.76
1177,2020-12-19T00:00:00,VN,Hạ Long,pressure,8,1007.9,1013.2,1010.7,29.57
1178,2020-09-01T00:00:00,VN,Hạ Long,pressure,8,999.6,1004.7,1001.6,27.18
1179,2020-10-29T00:00:00,VN,Hồ Chí Minh,humidity,24,53.5,94,83,1295
1180,2020-03-31T00:00:00,VN,Hạ Long,pressure,7,995.4,1000.2,998.5,34.86
1181,2020-12-01T00:00:00,VN,Hồ Chí Minh,humidity,24,52,97,78,1527.35
1182,2020-10-06T00:00:00,VN,Hạ Long,pressure,8,990.8,994.6,993.2,16.88
1183,2020-10-06T00:00:00,VN,Hồ Chí Minh,humidity,24,66,100,91,923.44
1184,2020-08-23T00:00:00,VN,Hạ Long,pressure,8,991.1,995,993.7,18.79
1185,2020-08-22T00:00:00,VN,Hồ Chí Minh,humidity,24,52,94,79,1947.97
1186,2020-08-15T00:00:00,VN,Hạ Long,pressure,8,990.5,994.1,992.7,13.18
1187,2020-10-28T00:00:00,VN,Hạ Long,pressure,8,996.9,1000.3,998.6,13.37
1188,2020-09-02T00:00:00,VN,Hạ Long,pressure,4,1009.7,1013.3,1010.6,23.42
1189,2020-03-22T00:00:00,VN,Hạ Long,pressure,8,996.7,1001.1,998.9,18.49
1190,2020-05-20T00:00:00,VN,Hồ Chí Minh,humidity,24,68,91,85.5,319.11
1191,2020-04-19T00:00:00,VN,Hạ Long,pressure,7,994.9,998.6,996.9,15.73
1192,2020-05-22T00:00:00,VN,Hạ Long,pressure,8,986.8,993.6,989.6,51.39
1193,2021-01-20T00:00:00,VN,Hồ Chí Minh,humidity,16,43,85.5,69,3000.67
1194,2020-05-28T00:00:00,VN,Hạ Long,pressure,7,994.1,997.4,996.8,15.65
1195,2020-03-01T00:00:00,VN,Hồ Chí Minh,humidity,11,35,78.5,56,2531.23
1196,2020-07-14T00:00:00,VN,Hạ Long,pressure,8,991.2,995.2,993.8,19.96
1197,2020-11-12T00:00:00,VN,Hạ Long,pressure,8,999.3,1004.1,1001.8,23.39
1198,2020-12-24T00:00:00,VN,Hạ Long,pressure,8,1001.9,1006.3,1003.4,17.14
1199,2020-09-01T00:00:00,VN,Hồ Chí Minh,humidity,24,32,94,58,4358.84
1200,2020-04-30T00:00:00,VN,Hồ Chí Minh,humidity,24,38,80.5,60.5,2081.41
1201,2020-05-25T00:00:00,VN,Hạ Long,pressure,8,990.8,994.2,993.1,15.24
1202,2020-01-08T00:00:00,VN,Hạ Long,pressure,8,983.5,987.8,985,26.18
