Province,Address,Province Latitude,Province Longitude,Date,AQI,CO,NO2,O3,PM-10,PM-2.5,SO2,Primary Pollutant,Fog,Humidity,Temperature,Wind Speed,Pressure
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-15,137,4.0,9.0,9.0,46.0,50.0,7.0,PM-2.5,25.0,88.0,27.0,4.6,1007.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-15,163,2.0,5.0,19.0,83.0,79.0,3.0,PM-10,25.0,88.0,27.0,3.6,1006.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-15,72,4.0,5.0,11.363636363636363,26.0,22.0,2.0,PM-10,25.0,88.0,27.0,3.6,1006.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-16,84,2.0,9.0,9.0,31.0,28.0,8.0,PM-10,21.0,58.0,30.0,4.1,1010.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-16,119,1.0,4.0,19.0,51.0,43.0,4.0,PM-10,21.0,58.0,30.0,4.1,1010.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-16,63,4.0,1.0,11.363636363636363,16.0,18.0,3.0,PM-2.5,24.5,78.5,28.5,4.3,1011.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-18,165,6.0,7.0,8.0,54.0,83.0,9.0,PM-2.5,21.0,88.0,23.0,1.5,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-18,188,4.0,8.0,11.0,72.0,128.0,4.0,PM-2.5,21.0,88.0,23.0,1.5,1011.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-18,161,6.0,20.0,11.363636363636363,58.0,75.0,9.0,PM-2.5,21.0,88.0,23.0,2.3,1010.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-23,119,3.0,11.0,9.0,42.0,43.0,7.0,PM-2.5,26.0,79.0,30.0,5.6,1005.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-22,147,2.0,6.0,14.0,56.0,54.0,8.0,PM-10,25.0,88.0,27.0,4.6,1007.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-23,84,5.0,2.0,11.363636363636363,26.0,28.0,1.0,PM-2.5,25.5,74.5,30.5,5.6,1004.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-27,162,5.0,13.0,8.0,140.0,76.0,8.0,PM-10,20.0,78.0,24.0,3.0,1015.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-27,68,3.0,3.0,13.0,18.0,20.0,2.0,PM-2.5,20.0,78.0,24.0,3.0,1015.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-27,297,30.0,4.0,11.363636363636363,19.0,18.0,8.0,CO,21.0,73.0,26.0,2.5,1015.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-29,144,2.0,9.0,9.0,52.0,53.0,18.0,PM-2.5,16.0,50.0,27.0,1.5,1016.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-29,82,2.0,2.0,25.0,25.0,27.0,2.0,PM-2.5,16.0,50.0,27.0,1.5,1016.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-29,99,3.0,2.0,11.363636363636363,33.0,35.0,2.0,PM-2.5,15.0,47.0,27.0,2.0,1015.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-29,169,3.0,11.0,9.0,108.0,91.0,7.0,PM-10,17.0,51.0,28.0,1.5,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-29,89,2.0,3.0,31.0,28.0,30.0,2.0,O3,17.0,51.0,28.0,1.5,1011.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-29,122,3.0,5.0,11.363636363636363,38.0,44.0,2.0,PM-2.5,17.0,51.0,28.0,1.0,1011.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-05-05,203,3.0,12.0,9.0,85.0,153.0,12.0,PM-2.5,22.0,94.0,23.0,4.6,1012.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-05-05,132,1.0,4.0,23.0,51.0,48.0,2.0,PM-10,22.0,94.0,23.0,4.6,1012.0
